name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"The Strangers Prey at Night","Horrors","Sony Pictures Entertainment","USA",85,18,2018,6,5.2
"The Titan","Fantasy","Voltage Pictures","USA",97,16,2018,13,4.8
"Mon garçon","Thriller","Canal+","France",84,16,2018,13,5.8
"Dans la brume","Fantasy","Kinology","France",90,16,2018,13,5.9
"Leo Da Vinci Mission Mona Lisa","Biographical","Lion's Gate Films","Italy",90,0,2018,13,5.1
"Overboard","Comedy","Metro-Goldwyn-Mayer","USA",112,12,2018,20,6.0
"Mary Poppins Returns","Musical","Walt Disney Pictures","USA",130,0,2018,31,6.7
"The Butterfly Tree","Drama","Paramount Pictures","Australia",97,16,2018,27,5.5
"Throne of Elves","Fantasy","Lion's Gate Films","China",92,0,2018,6,6.2
"Selfie from Hell","Horrors","Bron Studios","Canada",90,18,2018,13,2.9
"Christopher Robin","Biographical","Walt Disney Pictures","United Kingdom",107,0,2018,34,7.3
"Barrage","Drama","STX Entertainment","Luxembourg",112,16,2018,6,5.9
"PLOEY. You Never Fly Alone","Animation","Thefyzz","Iceland",101,0,2018,27,5.4
"Brillantissime","Comedy","Studio Canal","France",95,16,2018,13,4.4
"Ami-ami","Comedy","Canal+","France",86,16,2018,13,5.5
"THE BOBOT","Adventure","Universal Pictures","Ukraine",100,0,2018,20,4.8
"Midnight Sun","Drama","Global Road Entertainment","USA",91,12,2018,13,6.6
"Den utrolige historie om den kæmpestore pære","Cartoon","Backup Media","Denmark",78,0,2018,13,6.3
"Ugly","Drama","Universal Pictures","Ukraine",92,16,2018,27,5.9
"Au revoir là-haut","Drama","Gaumont Film Company","France",117,16,2018,20,7.5
"Status Update","Comedy","Voltage Pictures","USA",106,12,2018,20,5.8
"Replace","Horrors","Warner Brothers Pictures","Germany",101,16,2018,27,4.8
"Life of the Party","Comedy","New Line Cinema","USA",105,12,2018,34,5.6
"Delirium","Horrors","Universal Pictures","USA",96,16,2018,20,5.8
"Jeune femme","Comedy","Gaumont Film Company","France",97,16,2018,27,6.5
"Jim Knopf und Lukas der Lokomotivfuhrer","Adventure","Warner Brothers Pictures","USA",105,0,2018,13,6.3
"Unsane","Thriller","Regency Enterprises","USA",97,18,2018,6,6.4
"Terminal","Thriller","Ambience Entertainment","USA",95,16,2018,27,5.4
